doi,OA_color,issn,journal,publisher,date
10.1371/journal.pgph.0002216,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-08-01
10.1371/journal.pgph.0002157,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-07-14
10.1371/journal.pgph.0000757,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-07-28
10.1371/journal.pgph.0002950,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-02-20
10.1371/journal.pgph.0000256,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-03-09
10.1136/bmjgh-2022-009548,gold,2059-7908,BMJ Global Health,BMJ,2022-09-01
10.1016/S2214-109X(19)30250-5,closed,2214-109X,The Lancet Global Health,Elsevier BV,2019-08-01
10.1016/S2214-109X(16)30130-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-08-01
10.1371/journal.pgph.0003070,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-03-28
10.1136/bmjgh-2019-002216,gold,2059-7908,BMJ Global Health,BMJ,2020-12-01
10.1016/S2214-109X(20)30119-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-07-01
10.1371/journal.pgph.0002130,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-11-15
10.1136/bmjgh-2021-005003,gold,2059-7908,BMJ Global Health,BMJ,2021-07-01
10.1371/journal.pgph.0000796,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-02-24
10.3402/gha.v8.29067,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2015-10-23
10.1016/S2214-109X(23)00586-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2024-03-01
10.1080/16549716.2020.1855694,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2020-12-27
10.1080/16549716.2019.1656905,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2019-01-01
10.1371/journal.pgph.0001828,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-04-21
10.1136/bmjgh-2016-000036,gold,2059-7908,BMJ Global Health,BMJ,2016-07-01
10.1080/16549716.2017.1327638,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2017-01-01
10.1016/S2214-109X(20)30366-1,green,2214-109X,The Lancet Global Health,Elsevier BV,2020-11-01
10.1016/S2214-109X(23)00492-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2024-01-01
10.1371/journal.pgph.0000806,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-07-21
10.1136/bmjgh-2021-007926,gold,2059-7908,BMJ Global Health,BMJ,2022-07-01
10.1136/bmjgh-2017-000285,gold,2059-7908,BMJ Global Health,BMJ,2017-12-01
10.1080/16549716.2022.2137281,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2022-11-11
10.1371/journal.pgph.0002628,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-03-27
10.1371/journal.pgph.0002916,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-03-07
10.1371/journal.pgph.0001695,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-06-08
10.1136/bmjgh-2019-002209,gold,2059-7908,BMJ Global Health,BMJ,2020-05-01
10.1371/journal.pgph.0000464,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-09-06
10.1371/journal.pgph.0000818,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-04-28
10.1136/bmjgh-2022-009465,gold,2059-7908,BMJ Global Health,BMJ,2022-08-01
10.1136/bmjgh-2021-006475,gold,2059-7908,BMJ Global Health,BMJ,2021-10-01
10.1136/bmjgh-2018-001122,gold,2059-7908,BMJ Global Health,BMJ,2019-02-01
10.1136/bmjgh-2016-000253,gold,2059-7908,BMJ Global Health,BMJ,2017-08-01
10.1016/S2214-109X(21)00255-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-08-01
10.1016/S2214-109X(20)30544-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-03-01
10.1136/bmjgh-2022-010270,gold,2059-7908,BMJ Global Health,BMJ,2023-07-01
10.1136/bmjgh-2021-005577,gold,2059-7908,BMJ Global Health,BMJ,2021-08-01
10.1136/bmjgh-2017-000419,gold,2059-7908,BMJ Global Health,BMJ,2017-10-01
10.1136/bmjgh-2022-010994,gold,2059-7908,BMJ Global Health,BMJ,2023-03-01
10.1136/bmjgh-2017-000687,gold,2059-7908,BMJ Global Health,BMJ,2018-05-01
10.1136/bmjgh-2021-005868,gold,2059-7908,BMJ Global Health,BMJ,2021-07-01
10.1136/bmjgh-2023-012268,gold,2059-7908,BMJ Global Health,BMJ,2023-07-01
10.1136/bmjgh-2021-006965,gold,2059-7908,BMJ Global Health,BMJ,2022-03-01
10.1136/bmjgh-2021-006032,gold,2059-7908,BMJ Global Health,BMJ,2021-08-01
10.1136/bmjgh-2020-003644,gold,2059-7908,BMJ Global Health,BMJ,2021-03-01
10.1136/bmjgh-2016-000221,gold,2059-7908,BMJ Global Health,BMJ,2017-06-14
10.1136/bmjgh-2018-000891,gold,2059-7908,BMJ Global Health,BMJ,2018-07-01
10.1136/bmjgh-2017-000457,gold,2059-7908,BMJ Global Health,BMJ,2017-09-01
10.1136/bmjgh-2018-000915,gold,2059-7908,BMJ Global Health,BMJ,2018-11-01
10.1136/bmjgh-2019-001613,gold,2059-7908,BMJ Global Health,BMJ,2019-08-01
10.1136/bmjgh-2021-005489,gold,2059-7908,BMJ Global Health,BMJ,2021-07-01
10.1136/bmjgh-2020-002381,gold,2059-7908,BMJ Global Health,BMJ,2020-09-01
10.1136/bmjgh-2023-013126,gold,2059-7908,BMJ Global Health,BMJ,2023-11-01
10.1136/bmjgh-2020-003328,gold,2059-7908,BMJ Global Health,BMJ,2020-10-01
10.1136/bmjgh-2018-000786,gold,2059-7908,BMJ Global Health,BMJ,2018-09-01
10.1136/bmjgh-2015-000015,gold,2059-7908,BMJ Global Health,BMJ,2016-07-01
10.1136/bmjgh-2019-001873,gold,2059-7908,BMJ Global Health,BMJ,2020-03-01
10.1136/bmjgh-2019-002093,gold,2059-7908,BMJ Global Health,BMJ,2020-04-01
10.1136/bmjgh-2021-006385,gold,2059-7908,BMJ Global Health,BMJ,2021-12-01
10.1016/S2214-109X(17)30321-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-10-01
10.1136/bmjgh-2021-005429,gold,2059-7908,BMJ Global Health,BMJ,2021-07-01
10.1136/bmjgh-2020-003499,gold,2059-7908,BMJ Global Health,BMJ,2021-01-01
10.1016/S2214-109X(20)30387-9,green,2214-109X,The Lancet Global Health,Elsevier BV,2020-11-01
10.1016/S2214-109X(22)00028-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-03-01
10.1016/S2214-109X(22)00379-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-11-01
10.1016/S2214-109X(17)30391-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-01-01
10.1016/S2214-109X(15)00152-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2015-12-01
10.1016/S2214-109X(14)70290-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2014-10-01
10.1136/bmjgh-2019-002268,gold,2059-7908,BMJ Global Health,BMJ,2020-09-01
10.1016/S2214-109X(21)00033-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-05-01
10.1016/S2214-109X(21)00217-5,green,2214-109X,The Lancet Global Health,Elsevier BV,2021-08-01
10.1016/S2214-109X(23)00597-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2024-04-01
10.1016/S2214-109X(21)00263-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-09-01
NA,,,,,
10.1016/S2214-109X(14)70337-7,green,2214-109X,The Lancet Global Health,Elsevier BV,2015-01-01
10.1136/bmjgh-2022-010745,gold,2059-7908,BMJ Global Health,BMJ,2023-02-01
10.1016/S2214-109X(14)70274-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2014-08-01
10.1016/S2214-109X(21)00053-X,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-06-01
10.1016/S2214-109X(23)00116-X,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-06-01
10.1016/S2214-109X(17)30205-X,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-07-01
10.1016/S2214-109X(23)00411-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-11-01
10.1136/bmjgh-2020-004222,gold,2059-7908,BMJ Global Health,BMJ,2020-10-01
10.1136/bmjgh-2018-000809,gold,2059-7908,BMJ Global Health,BMJ,2018-07-01
10.1136/bmjgh-2021-007298,gold,2059-7908,BMJ Global Health,BMJ,2022-07-01
10.1016/S2214-109X(14)70344-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2015-01-01
NA,,,,,
10.1016/S2214-109X(16)00040-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-04-01
10.1016/S2214-109X(22)00286-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-09-01
10.1016/S2214-109X(21)00459-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-01-01
10.1136/bmjgh-2018-001087,gold,2059-7908,BMJ Global Health,BMJ,2019-01-01
NA,,,,,
10.1016/S2214-109X(17)30022-0,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-03-01
10.1016/S2214-109X(13)70115-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2013-12-01
10.1016/S2214-109X(18)30231-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-08-01
10.1136/bmjgh-2020-004593,gold,2059-7908,BMJ Global Health,BMJ,2021-07-01
10.1016/S2214-109X(21)00370-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-12-01
10.1016/S2214-109X(24)00012-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2024-04-01
NA,,,,,
10.1136/bmjgh-2021-007282,gold,2059-7908,BMJ Global Health,BMJ,2021-11-01
10.1016/S2214-109X(14)70315-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2014-11-01
10.1016/S2214-109X(23)00377-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-10-01
10.1136/bmjgh-2023-012376,gold,2059-7908,BMJ Global Health,BMJ,2023-10-01
NA,,,,,
10.1016/S2214-109X(19)30541-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-02-01
10.1016/S2214-109X(20)30130-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-07-01
10.1016/S2214-109X(19)30076-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-05-01
10.1016/S2214-109X(23)00556-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2024-03-01
10.1016/S2214-109X(23)00606-X,gold,2214-109X,The Lancet Global Health,Elsevier BV,2024-04-01
NA,,,,,
NA,,,,,
NA,,,,,
